1위, 사랑에 연습이 있었다면 (Prod. 2soo), 임재현
2위, 너에게 못했던 내 마지막 말은, 다비치
3위, 작은 것들을 위한 시 (Boy With Luv) feat. Halsey, 방탄소년단
4위, 2002, Anne-Marie
5위, 주저하는 연인들을 위해, 잔나비
6위, bad guy, Billie Eilish (빌리 아일리시)
7위, AH YEAH (아예), WINNER
8위, Goodbye, 박효신
9위, FANCY, TWICE (트와이스)
10위, 노래방에서, 장범준
11위, 사계 (Four Seasons), 태연 (TAEYEON)
12위, 나만, 봄, 볼빨간사춘기
13위, 교통정리 (Feat. 헤이즈), 기리보이
14위, 사월이 지나면 우리 헤어져요 (Beautiful goodbye), 첸 (CHEN)
15위, 그때가 좋았어, 케이시 (Kassy)
16위, 소우주 (Mikrokosmos), 방탄소년단
17위, Kill This Love, BLACKPINK
18위, Make It Right, 방탄소년단
19위, 사계 (하루살이), 엠씨더맥스
20위, 봄날, 방탄소년단
21위, 비가 오잖아, 소유 (SOYOU)
22위, 옥탑방 (Rooftop), 엔플라잉 (N.Flying)
23위, Dionysus, 방탄소년단
24위, 달라달라, ITZY (있지)
25위, 뜨거운 여름밤은 가고 남은 건 볼품없지만, 잔나비
26위, 별 보러 갈래?, 볼빨간사춘기
27위, 모든 날, 모든 순간 (Every day, Every Moment), 폴킴
28위, IDOL, 방탄소년단
29위, 당신과는 천천히, 장범준
30위, HOME, 방탄소년단
31위, 사랑하긴 했었나요 스쳐가는 인연이었나요 짧지않은 우리 함께했던 시간들이 자꾸 내 마음을 가둬두네, 잔나비
32위, Paris In The Rain, Lauv
33위, Jamais Vu, 방탄소년단
34위, 비, 폴킴
35위, 넘쳐흘러, 엠씨더맥스
36위, 너를 만나, 폴킴
37위, 다섯 번째 계절 (SSFWL), 오마이걸
38위, 진심이 담긴 노래 (True Song), 케이시 (Kassy)
39위, Intro : Persona, 방탄소년단
40위, 그건 아마 우리의 잘못은 아닐 거야, 백예린
41위, 벌써 12시, 청하
42위, 비올레타, IZ*ONE (아이즈원)
43위, Love Shot, EXO
44위, 돈 Call Me (Prod.BRLLNT), 염따
45위, 이 노래가 클럽에서 나온다면, 우디 (Woody)
46위, 오월의 어느 봄날 (Feat. 첸(CHEN)), 임한별
47위, 7 rings, Ariana Grande
48위, 고고베베 (gogobebe), 마마무(Mamamoo)
49위, Way Back Home, 숀 (SHAUN)
50위, 안녕하세요, 김재환
